# X-ray diffraction data of amorphous ice, measured at APS beamline 6 ID-D by  Mariedahl et al. (J. Phys. Chem. B 2018, DOI: 10.1021/acs.jpcb.8b04823)# Oxygen-Oxygen Structure factor S_OO(Q) data shown in Figure 2 of corresponding paper# S_OO(Q) and standard error obtained by averaging individual runs on different sample positions within the same batch# eHDA (sample #2)
# Q[Å^-1] S_OO(Q) Error
2.560000000000001830e+00 9.409413548944653982e-01 1.832362747558382091e-02
2.570000000000001616e+00 9.365949465491731907e-01 1.823157799298582085e-02
2.580000000000001847e+00 9.334226672420898874e-01 1.817226678275877735e-02
2.590000000000001634e+00 9.313678788998199787e-01 1.813863970686756949e-02
2.600000000000001865e+00 9.302925991329852318e-01 1.812541737932050687e-02
2.610000000000001652e+00 9.300722066873889915e-01 1.812801783844699560e-02
2.620000000000001439e+00 9.306397665465885316e-01 1.814294765853996169e-02
2.630000000000002114e+00 9.319610490055042495e-01 1.816950110054155534e-02
2.640000000000001901e+00 9.341167355446193810e-01 1.820714169307377159e-02
2.650000000000001688e+00 9.373110038921259601e-01 1.825384953472731012e-02
2.660000000000001474e+00 9.417025190078848196e-01 1.830664321924478297e-02
2.670000000000001705e+00 9.472683966219910268e-01 1.836083749580211949e-02
2.680000000000001936e+00 9.539467839032468310e-01 1.840771393812920889e-02
2.690000000000001723e+00 9.616770817591108189e-01 1.843943760194461517e-02
2.700000000000001510e+00 9.704469258984979030e-01 1.846428689010375102e-02
2.710000000000001297e+00 9.803362251585835407e-01 1.850083991829151037e-02
2.720000000000001972e+00 9.916198551470839506e-01 1.857230574025499348e-02
2.730000000000001759e+00 1.004531339604666451e+00 1.871596481233554071e-02
2.740000000000001545e+00 1.019146882394925235e+00 1.896512471553252546e-02
2.750000000000001776e+00 1.035182219974452922e+00 1.924251187912518965e-02
2.760000000000002007e+00 1.052142511771533506e+00 1.938442815123314969e-02
2.770000000000001794e+00 1.069402093936359099e+00 1.932639124804352501e-02
2.780000000000001581e+00 1.086167358023578222e+00 1.931877212853018444e-02
2.790000000000002256e+00 1.101771845102863523e+00 1.965160261500374997e-02
2.800000000000002043e+00 1.116279411108678898e+00 2.031674215795854430e-02
2.810000000000001830e+00 1.130279161382620634e+00 2.104401849361224944e-02
2.820000000000001616e+00 1.144398273845123937e+00 2.161448775134606690e-02
2.830000000000001847e+00 1.159246329806316256e+00 2.207055284037029094e-02
2.840000000000002078e+00 1.175249252762388563e+00 2.251000630059797961e-02
2.850000000000001865e+00 1.192462004541763321e+00 2.296867759638846623e-02
2.860000000000001652e+00 1.210771926795594533e+00 2.342621891558632763e-02
2.870000000000001439e+00 1.230162063041840836e+00 2.386783056223968497e-02
2.880000000000002114e+00 1.250496029705445267e+00 2.430822730591470845e-02
2.890000000000001901e+00 1.271700890095475822e+00 2.476920976263526433e-02
2.900000000000001688e+00 1.293762528412688573e+00 2.525358090072233816e-02
2.910000000000001918e+00 1.316552665056815785e+00 2.574366413367879663e-02
2.920000000000002149e+00 1.339728442745062198e+00 2.622511157387452663e-02
2.930000000000001936e+00 1.363031926053046350e+00 2.670354846915140232e-02
2.940000000000001723e+00 1.386293966554984047e+00 2.719002388898271450e-02
2.950000000000002398e+00 1.409387504995728513e+00 2.768683197014429331e-02
2.960000000000002185e+00 1.432205309272951643e+00 2.818563374537934665e-02
2.970000000000001972e+00 1.454755783493031140e+00 2.867810700176042643e-02
2.980000000000001759e+00 1.476958699756231397e+00 2.915782264595578877e-02
2.990000000000001990e+00 1.498570843733543656e+00 2.961781412835598135e-02
3.000000000000002220e+00 1.519035598815959398e+00 3.002706841267105409e-02
3.010000000000002007e+00 1.537539555008357928e+00 3.032328941512456993e-02
3.020000000000001794e+00 1.553348368937750967e+00 3.045825173988017318e-02
3.030000000000001581e+00 1.566229242510085884e+00 3.048062142339988054e-02
3.040000000000002256e+00 1.576193596043431677e+00 3.047275622540782797e-02
3.050000000000002043e+00 1.583303363720621304e+00 3.048376275604270866e-02
3.060000000000001830e+00 1.587576489854894968e+00 3.051583690466836904e-02
3.070000000000002061e+00 1.588969627674535756e+00 3.056265212131582462e-02
3.080000000000002292e+00 1.587664142518030230e+00 3.058356292425186765e-02
3.090000000000002078e+00 1.583961831752227267e+00 3.052298114025906936e-02
3.100000000000001865e+00 1.578062625450894929e+00 3.035617489447124326e-02
3.110000000000002540e+00 1.569963784587653288e+00 3.011047386020144004e-02
3.120000000000002327e+00 1.559676253303566851e+00 2.981517702412251822e-02
3.130000000000002114e+00 1.547291466171497154e+00 2.947477828886046688e-02
3.140000000000001901e+00 1.532891803298023659e+00 2.908244916949317277e-02
3.150000000000002132e+00 1.516553681058789183e+00 2.863782926476307611e-02
3.160000000000002363e+00 1.498417619541715817e+00 2.815201803382877399e-02
3.170000000000002149e+00 1.478694625722701161e+00 2.763655964643449078e-02
3.180000000000001936e+00 1.457583418085610427e+00 2.709386591665609995e-02
3.190000000000001723e+00 1.435279895252624671e+00 2.652165169237533440e-02
3.200000000000002398e+00 1.412040986201633652e+00 2.592318938435905426e-02
3.210000000000002185e+00 1.388188470243324701e+00 2.531317304514266869e-02
3.220000000000001972e+00 1.363919948458248266e+00 2.470710211032904960e-02
3.230000000000002647e+00 1.339248635613466298e+00 2.411446099606011709e-02
3.240000000000002434e+00 1.314186169912144875e+00 2.354187097116490837e-02
3.250000000000002220e+00 1.288773622650758677e+00 2.298954021641370915e-02
3.260000000000002007e+00 1.262945824707089271e+00 2.244289852740022351e-02
3.270000000000002682e+00 1.236670119008445257e+00 2.188483652894734899e-02
3.280000000000002469e+00 1.210113529230788743e+00 2.129412658972058836e-02
3.290000000000002256e+00 1.183430024728297170e+00 2.064415484418565677e-02
3.300000000000002043e+00 1.156666145171385329e+00 1.992557356712870015e-02
3.310000000000002274e+00 1.129953949834462845e+00 1.917742125806888576e-02
3.320000000000002505e+00 1.103577149339876495e+00 1.844386756651452894e-02
3.330000000000002292e+00 1.077789984717292926e+00 1.775014494600889170e-02
3.340000000000002078e+00 1.052866536096918937e+00 1.711047136303413263e-02
3.350000000000001865e+00 1.029092206328756864e+00 1.653201818011134500e-02
3.360000000000002540e+00 1.006577883502982163e+00 1.600136729803594213e-02
3.370000000000002327e+00 9.852425490310668943e-01 1.550163162083995419e-02
3.380000000000002114e+00 9.649809470221075713e-01 1.502577306021900781e-02
3.390000000000001901e+00 9.456961167090334186e-01 1.457455413144543438e-02
3.400000000000002576e+00 9.272930138626841456e-01 1.414982482589617965e-02
3.410000000000002363e+00 9.097469388622737574e-01 1.375525414501221379e-02
3.420000000000002149e+00 8.932353806040164157e-01 1.339433492478807677e-02
3.430000000000002824e+00 8.778522582895708082e-01 1.306633015858001123e-02
3.440000000000002611e+00 8.635118841980825577e-01 1.276729754314389655e-02
3.450000000000002398e+00 8.500763992544522196e-01 1.249108336987262736e-02
3.460000000000002185e+00 8.374714897349226916e-01 1.222332885853576363e-02
3.470000000000002416e+00 8.254993146434070894e-01 1.194754482443634823e-02
3.480000000000002647e+00 8.139418105989152386e-01 1.165770202003148757e-02
3.490000000000002434e+00 8.027494752756266783e-01 1.135825096479086034e-02
3.500000000000002220e+00 7.920434476090950637e-01 1.105663295073074093e-02
3.510000000000002007e+00 7.819888750530390453e-01 1.077003421398735165e-02
3.520000000000002682e+00 7.727289443618028386e-01 1.051741072023540044e-02
3.530000000000002469e+00 7.643721577471814799e-01 1.030218887615406108e-02
3.540000000000002256e+00 7.568890973819965007e-01 1.011086311664785055e-02
3.550000000000002931e+00 7.501230528634238448e-01 9.931725828852881049e-03
3.560000000000002718e+00 7.438982405717894375e-01 9.765702715325154382e-03
3.570000000000002505e+00 7.381882295263996197e-01 9.617261923178965777e-03
3.580000000000002292e+00 7.330113496756287539e-01 9.487906552483316852e-03
3.590000000000002967e+00 7.284223382644262612e-01 9.375596914880846358e-03
3.600000000000002753e+00 7.244947559380808810e-01 9.277111492854983599e-03
3.610000000000002540e+00 7.212604163918813205e-01 9.184390312509801632e-03
3.620000000000002327e+00 7.185662936996473071e-01 9.087944804021304973e-03
3.630000000000002558e+00 7.162486049941531041e-01 8.986665283833888268e-03
3.640000000000002789e+00 7.142572525108433767e-01 8.890242801464600872e-03
3.650000000000002576e+00 7.126297807828289033e-01 8.804623616377842132e-03
3.660000000000002363e+00 7.114088334675736647e-01 8.709263925294735004e-03
3.670000000000002149e+00 7.107134531280414613e-01 8.573899632570334065e-03
3.680000000000002824e+00 7.106780976213000756e-01 8.378150983894371365e-03
3.690000000000002611e+00 7.113383973388432979e-01 8.116275032412989879e-03
3.700000000000002398e+00 7.126009922281576481e-01 7.790471458256128558e-03
3.710000000000002185e+00 7.142767225024572175e-01 7.445480856774132523e-03
3.720000000000002860e+00 7.161625867397320988e-01 7.144442991798690898e-03
3.730000000000002647e+00 7.180377567638950298e-01 6.946251845958653463e-03
3.740000000000002434e+00 7.197141354484216658e-01 6.888997588443115418e-03
3.750000000000003109e+00 7.211009192045509941e-01 6.989892758286975899e-03
3.760000000000002895e+00 7.224054335811586069e-01 7.212142568068925612e-03
3.770000000000002682e+00 7.239351184654739813e-01 7.494831312050865592e-03
3.780000000000002469e+00 7.259010972363042491e-01 7.784583029266221692e-03
3.790000000000002700e+00 7.282974599508066360e-01 8.052422213271712842e-03
3.800000000000002931e+00 7.310353044980768544e-01 8.273246938599937081e-03
3.810000000000002718e+00 7.340598022670201672e-01 8.447700528257929414e-03
3.820000000000002505e+00 7.374348991607074799e-01 8.587758059334472255e-03
3.830000000000002292e+00 7.412039095055340532e-01 8.698791994370120087e-03
3.840000000000002967e+00 7.453097456836964563e-01 8.779806324097090553e-03
3.850000000000002753e+00 7.496927137281423903e-01 8.831498882294308919e-03
3.860000000000002540e+00 7.543228372038929264e-01 8.866962415072558723e-03
3.870000000000003215e+00 7.590992996795988823e-01 8.906190894339352168e-03
3.880000000000003002e+00 7.638889163682031080e-01 8.961556002319681635e-03
3.890000000000002789e+00 7.686101661578098598e-01 9.028698453393399145e-03
3.900000000000002576e+00 7.732425605027731796e-01 9.101762497533820787e-03
3.910000000000003251e+00 7.778339513529383131e-01 9.185244594460576645e-03
3.920000000000003038e+00 7.824919720066688678e-01 9.289954206691852442e-03
3.930000000000002824e+00 7.873036626723687315e-01 9.421409918222134125e-03
3.940000000000002611e+00 7.922302876127883531e-01 9.571326470303172934e-03
3.950000000000002842e+00 7.971705917768763250e-01 9.728745489493586737e-03
3.960000000000003073e+00 8.020914201938116328e-01 9.882822818849248264e-03
3.970000000000002860e+00 8.070148269913027805e-01 1.002225199662086508e-02
3.980000000000002647e+00 8.119576274207208622e-01 1.014075403309535293e-02
3.990000000000002434e+00 8.169317829420118526e-01 1.024731312920145604e-02
4.000000000000003553e+00 8.219823309002696199e-01 1.035321812408545109e-02
4.010000000000004228e+00 8.271438089474805189e-01 1.045685324120400328e-02
4.020000000000003126e+00 8.324117711599652303e-01 1.054670648567292666e-02
4.030000000000002025e+00 8.377831193068862037e-01 1.061633928130056165e-02
4.040000000000003588e+00 8.432581450974923065e-01 1.067577501573558317e-02
4.050000000000003375e+00 8.488251838445616260e-01 1.073778372672416076e-02
4.060000000000003162e+00 8.544665862392255562e-01 1.080253442009883845e-02
4.070000000000002949e+00 8.601988313298255528e-01 1.085971696388836165e-02
4.080000000000004512e+00 8.660241088939369947e-01 1.090506183527865762e-02
4.090000000000003411e+00 8.718478064063481803e-01 1.095646816563969513e-02
4.100000000000002309e+00 8.775426270555026775e-01 1.103588120066609918e-02
4.110000000000002984e+00 8.829933212918188445e-01 1.114193496657232309e-02
4.120000000000003659e+00 8.880832521587579409e-01 1.125129909902239031e-02
4.130000000000003446e+00 8.927205745013956362e-01 1.134483373203224073e-02
4.140000000000003233e+00 8.969420009092484714e-01 1.142363187617683948e-02
4.150000000000003020e+00 9.008295010193597685e-01 1.149264100242039337e-02
4.160000000000003695e+00 9.045124845400022151e-01 1.155240234152671817e-02
4.170000000000002593e+00 9.081575333912561554e-01 1.159913686357486040e-02
4.180000000000003268e+00 9.119162670079422606e-01 1.163026380700927891e-02
4.190000000000003944e+00 9.158619331577956268e-01 1.165105956121491489e-02
4.200000000000003730e+00 9.200460102645234839e-01 1.166860969384438639e-02
4.210000000000003517e+00 9.244992950636107265e-01 1.167239696388967449e-02
4.220000000000003304e+00 9.292419933613277339e-01 1.163232634996214966e-02
4.230000000000003091e+00 9.342654069644814596e-01 1.153060697214277480e-02
4.240000000000002878e+00 9.393922574163608985e-01 1.141148630623943505e-02
4.250000000000003553e+00 9.443818404209930462e-01 1.133435854393370287e-02
4.260000000000004228e+00 9.490562001635760581e-01 1.132717678746306307e-02
4.270000000000003126e+00 9.533293093258713435e-01 1.137971340164253657e-02
4.280000000000003801e+00 9.571467800943653792e-01 1.147572011996275849e-02
4.290000000000003588e+00 9.606122406445104511e-01 1.158684084412783984e-02
4.300000000000003375e+00 9.639019616986687078e-01 1.167876454724459459e-02
4.310000000000003162e+00 9.671429227469139356e-01 1.175074604932040134e-02
4.320000000000003837e+00 9.703688848401137435e-01 1.185295395705681862e-02
4.330000000000004512e+00 9.735772952563898075e-01 1.202672833777801605e-02
4.340000000000003411e+00 9.766607673287817093e-01 1.222655234839595435e-02
4.350000000000002309e+00 9.794723843019147447e-01 1.237118166713480939e-02
